page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,Dell XPS 13 Plus 9320,Dell,https://thinkpro.vn/laptop/dell-xps-13-plus-9320?skuId=8228,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/5/8/dell-xps-13-plus-9320-thinkpro.jpg,52990000,1,0,Intel Core i7 1360P,Intel,32GB,LPDDR5,SSD,1,Intel Iris Xe Graphics,Intel,13.4,4K
Thinkpro,Lenovo ThinkPad X1 Carbon Gen 10,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-10?skuId=8444,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/Lenovo-ThinkPad-X1-Carbon-Gen-10-thinkpro-01.jpeg,23990000,1,0,Intel Core i7 1270P,Intel,16GB,LPDDR5,SSD,256 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Lenovo ThinkPad X1 Carbon Gen 10,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-10?skuId=9395,,18490000,1,0,,, ,,SSD,,,,,
Thinkpro,Dell XPS 13 9315 (2022),Dell,https://thinkpro.vn/laptop/dell-xps-13-9315-2022?skuId=7470,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/6/13/xps139315%201.png,16990000,1,0,Intel Core i5 1230U,Intel,8GB,LPDDR5,SSD,512 GB,Intel Iris Xe Graphics,Intel,13.4,FHD
Thinkpro,MacBook Air 2022 (Apple M2),MacBook,https://thinkpro.vn/laptop/macbook-air-2022-apple-m2?skuId=4462,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/6/7/macbook-air-starlight-gallery1-20220606.jpeg,28990000,1,0,Apple Apple M2,Apple,8GB,LPDDR5,SSD,256 GB,Apple GPU,Apple,13.4,2.5K
Thinkpro,Dell Inspiron 14 Plus (7420),Dell,https://thinkpro.vn/laptop/dell-inspiron-14-plus-7420?skuId=6317,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/17/dell-inspiron-14-plus-7420-undefined-iFl.jpg,16790000,1,0,Intel Core i7 12700H,Intel,16GB,DDR5,SSD,512 GB,Intel Iris Xe Graphics,Intel,14,2K
Thinkpro,Dell Precision 15 5560,Dell,https://thinkpro.vn/laptop/dell-precision-15-5560?skuId=9376,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/dell-precision-5560-thinkpro-1.png,24990000,1,0,Intel Core i7 11850H,Intel,16GB,DDR4,SSD,1,Quadro RTX A2000 4GB,Quadro,15.6,FHD
Thinkpro,Dell Precision 15 5560,Dell,https://thinkpro.vn/laptop/dell-precision-15-5560?skuId=9377,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/1/dell-precision-5560-thinkpro-1.png,25790000,1,0,Intel Core i9 11950H,Intel,32GB,DDR4,SSD,512 GB,Quadro RTX A2000 4GB,Quadro,15.6,FHD
Thinkpro,Dell Precision 15 5560,Dell,https://thinkpro.vn/laptop/dell-precision-15-5560?skuId=9378,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/1/dell-precision-5560-thinkpro-1.png,25790000,1,0,Intel Xeon W-11955M,Intel,32GB,DDR4,SSD,1,Quadro RTX A2000 4GB,Quadro,15.6,FHD
Thinkpro,Lenovo ThinkPad X1 Carbon Gen 8,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-8?skuId=8754,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/1/9/lenovo-thinkpad-x1-carbon-gen-8-thinkpro-01.png,13990000,1,0,Intel Core i7 10610U,Intel,16GB,LPDDR3,SSD,512 GB,Intel UHD Graphics,Intel,14,2.5K
